Image Name,Keywords
California Sea Lion,NZP-20090916-095MM,"Species: californianus,Genus: Zalophus,Family: Otariidae,Order: Pinnipedia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,California Sea Lion,Sea Lion,Pinniped,Calli,Summer,Female"
North American Porcupine,NZP-20141001-005TB-000001,"Species: dorsatum,Genus: Erethizon,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Maude,female,North American Porcupine,Porcupine,Rodent"
Peruvian Guinea Pig Masi,NZP-20191215_005CC,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Rodentia,Family: Caviidae,Genus and Species: Cavia porcellus,Rodents,Guinea Pigs,Mammals,Amazonia Exhibit"
Ossabaw Island Hog,NZP-20170530-001NM,"Species: scrofa,Genus: Sus,Family: Suidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Ossabaw Island Hog,Wild Boar,female,Savannah Sparrow,Kids Farm,Ungulate,Even-toed ungulate,Hog"
King Vulture,NZP-20110708-088MM,"Species: papa,Genus: Sarcoramphus,Family: Cathartidae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,female,bird,vulture,bird of prey,vertical"
Black-footed Ferret,NZP-20090828-273MM,"CRC,AI,kits,artificial insemination,Mother (F) Kit (B),Species: nigripes,Genus: Mustela,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,BFF,Black-footed Ferret,Ferret,Mustelid,SCBI,Front Royal,Kit,baby,young,horizontal"
Smithsonian Institution IDS 404 Page Not Found,NZP-20160219-124CTW,"Species: tetradactyla,Genus: Tamandua,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Southern Tamandua,Collared Anteater,Tamandua,Anteater,SMH,Small Mammal House"
Barred Owl,NZP-20160416-1109PAJ,"Species: varia,Genus: Strix,Family: Strigidae,Order: Strigiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Barred Owl,Owl,Bird"
Giant Panda,NZP-20110503-030MM,"Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mei Xiang,female,Bear,Giant Panda,yard,outside,bamboo,horizontal"
Sitatunga,NZP-20121227-01GM,"Species: spekii,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Marley,Sitatunga,Ungulate,Even-toed ungulate"
